state,county,tract,NAME.x,TotalPop_12,TotalPopMOE_12,TR_Italian_12,TR_ItalianMOE_12,Census_Tract.x,County.x,State.x,TotalPop_17,TotalPopMOE_17,TR_Italian_17,TR_ItalianMOE_17
36,047,094600,"Census Tract 946, Kings County, New York",2089,416,5,14,Census Tract 946,Kings County,New York,1883,218,0,11
36,047,095000,"Census Tract 950, Kings County, New York",3309,347,0,12,Census Tract 950,Kings County,New York,3066,277,15,19
36,047,095400,"Census Tract 954, Kings County, New York",4314,534,48,82,Census Tract 954,Kings County,New York,4474,528,26,33
36,047,095600,"Census Tract 956, Kings County, New York",4782,528,38,33,Census Tract 956,Kings County,New York,4633,526,8,13
36,047,095800,"Census Tract 958, Kings County, New York",3271,438,63,57,Census Tract 958,Kings County,New York,3743,514,145,162
36,047,096000,"Census Tract 960, Kings County, New York",0,12,0,12,Census Tract 960,Kings County,New York,0,11,0,11
36,047,096200,"Census Tract 962, Kings County, New York",1691,293,116,81,Census Tract 962,Kings County,New York,2051,251,7,9
36,047,096400,"Census Tract 964, Kings County, New York",2583,369,57,41,Census Tract 964,Kings County,New York,1715,255,30,33
36,047,096600,"Census Tract 966, Kings County, New York",2334,380,54,39,Census Tract 966,Kings County,New York,2558,351,69,49
36,047,096800,"Census Tract 968, Kings County, New York",1465,283,48,59,Census Tract 968,Kings County,New York,1512,207,93,84
36,047,097000,"Census Tract 970, Kings County, New York",1877,223,60,45,Census Tract 970,Kings County,New York,2498,424,136,79
36,047,097400,"Census Tract 974, Kings County, New York",3129,397,40,49,Census Tract 974,Kings County,New York,3065,365,13,17
36,047,098200,"Census Tract 982, Kings County, New York",4165,289,0,12,Census Tract 982,Kings County,New York,4535,363,22,35
36,047,098400,"Census Tract 984, Kings County, New York",1881,353,15,23,Census Tract 984,Kings County,New York,2207,279,5,8
36,047,098600,"Census Tract 986, Kings County, New York",3429,412,5,8,Census Tract 986,Kings County,New York,3145,283,6,9
36,047,098800,"Census Tract 988, Kings County, New York",3313,458,127,113,Census Tract 988,Kings County,New York,3343,459,28,27
36,047,099000,"Census Tract 990, Kings County, New York",1447,297,73,44,Census Tract 990,Kings County,New York,1724,270,18,18
36,047,099200,"Census Tract 992, Kings County, New York",1634,273,75,49,Census Tract 992,Kings County,New York,2348,299,15,17
36,047,099400,"Census Tract 994, Kings County, New York",1970,296,38,51,Census Tract 994,Kings County,New York,1886,231,55,43
36,047,099600,"Census Tract 996, Kings County, New York",3471,413,57,49,Census Tract 996,Kings County,New York,4240,543,44,53
36,047,099800,"Census Tract 998, Kings County, New York",4067,564,31,36,Census Tract 998,Kings County,New York,3539,576,17,27
36,047,100400,"Census Tract 1004, Kings County, New York",2691,328,27,31,Census Tract 1004,Kings County,New York,2756,294,0,11
36,047,100600,"Census Tract 1006, Kings County, New York",2727,318,0,12,Census Tract 1006,Kings County,New York,2441,341,10,11
36,047,100800,"Census Tract 1008, Kings County, New York",2001,270,56,30,Census Tract 1008,Kings County,New York,2205,267,39,33
36,047,101000,"Census Tract 1010, Kings County, New York",2493,344,18,17,Census Tract 1010,Kings County,New York,2196,315,43,32
36,047,101200,"Census Tract 1012, Kings County, New York",2408,309,49,54,Census Tract 1012,Kings County,New York,2280,238,40,40
36,047,101400,"Census Tract 1014, Kings County, New York",2303,306,9,12,Census Tract 1014,Kings County,New York,2280,233,0,11
36,047,101600,"Census Tract 1016, Kings County, New York",1541,258,0,12,Census Tract 1016,Kings County,New York,1810,183,3,5
36,047,101800,"Census Tract 1018, Kings County, New York",1777,287,0,12,Census Tract 1018,Kings County,New York,2058,261,44,57
36,047,102000,"Census Tract 1020, Kings County, New York",2076,219,0,12,Census Tract 1020,Kings County,New York,2291,272,6,10
36,047,102200,"Census Tract 1022, Kings County, New York",2101,253,84,51,Census Tract 1022,Kings County,New York,1993,263,15,16
36,047,102400,"Census Tract 1024, Kings County, New York",1843,350,68,55,Census Tract 1024,Kings County,New York,2134,259,21,19
36,047,102600,"Census Tract 1026, Kings County, New York",3013,420,5,8,Census Tract 1026,Kings County,New York,2617,264,0,11
36,047,102800,"Census Tract 1028, Kings County, New York",1576,338,49,72,Census Tract 1028,Kings County,New York,1795,235,14,20
36,047,103400,"Census Tract 1034, Kings County, New York",3478,434,125,85,Census Tract 1034,Kings County,New York,4046,566,41,53
36,047,105801,"Census Tract 1058.01, Kings County, New York",6849,635,306,257,Census Tract 1058.01,Kings County,New York,5870,554,0,16
36,047,105804,"Census Tract 1058.04, Kings County, New York",5973,499,72,82,Census Tract 1058.04,Kings County,New York,6679,675,52,54
